path,caption,object
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_09_1-34.46514, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_09_1-63.38002999999999, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_09_2-49.41834, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_15_1-42.9764, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_15_1-64.20698999999999, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_15_2-10.940359999999998, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_15_2-31.997000000000003, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_16_2-7.4598, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_16_2-19.83955, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_20_2-9.04362, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_20_2-28.29735, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_27_2-25.40671, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/nus_cpr_29_3-46.89105, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/utokyo_cpr_2005_28_2-45.91891, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/utokyo_cpr_2005_28_2-56.289429999999996, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/utokyo_cpr_2005_28_2-56.889419999999994, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/utokyo_cpr_2005_33_2-19.071830000000002, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/utokyo_cpr_2005_34_2-18.11432, "", mannequin
/simurgh2/projects/Mask2IV/Mask2IV/done_masks/utokyo_cpr_2005_35_2-17.17152, "", mannequin

